years,months,year_month,days,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,5,2010-May,8,E,1,1,24,4.167,4.167
2010,5,2010-May,10,SW,2,3,24,12.5,12.5
2010,5,2010-May,14,SE,2,4,24,16.667,20.834
2010,5,2010-May,18,S,2,3,24,12.5,16.667
2010,5,2010-May,22,SE,1,1,24,4.167,4.167
2010,5,2010-May,26,E,1,2,24,8.333,8.333
2010,5,2010-May,29,E,1,2,24,8.333,8.333
2010,5,2010-May,29,E,2,2,24,8.333,16.666
2010,6,2010-June,1,S,2,1,24,4.167,12.5
2010,6,2010-June,3,S,2,1,24,4.167,4.167
2010,6,2010-June,15,S,1,2,21,9.524,9.524
2010,6,2010-June,17,NW,1,1,24,4.167,4.167
2010,6,2010-June,18,NE,3,1,24,4.167,20.834
2010,6,2010-June,24,SE,1,2,24,8.333,8.333
2010,6,2010-June,30,E,1,4,24,16.667,16.667
2010,7,2010-July,5,NE,1,2,24,8.333,8.333
2010,7,2010-July,11,SE,3,1,23,4.348,13.044
2010,7,2010-July,13,NW,1,1,18,5.556,5.556
2010,7,2010-July,19,S,2,1,18,5.556,11.112
2010,7,2010-July,24,NE,1,4,18,22.222,22.222
2010,7,2010-July,25,W,3,1,21,4.762,4.762
2010,8,2010-August,2,W,3,2,24,8.333,8.333
2010,8,2010-August,2,W,4,1,24,4.167,12.5
2010,8,2010-August,5,NE,1,3,24,12.5,12.5
2010,8,2010-August,5,W,2,1,24,4.167,4.167
2010,8,2010-August,7,SW,2,1,15,6.667,6.667
2010,8,2010-August,10,SW,3,2,24,8.333,29.167
2010,8,2010-August,14,S,1,2,17,11.765,11.765
2010,8,2010-August,15,E,1,1,24,4.167,4.167
2010,8,2010-August,15,NW,2,3,24,12.5,12.5
2010,8,2010-August,18,NE,2,1,24,4.167,16.667
2010,8,2010-August,30,SE,2,1,24,4.167,4.167
2010,9,2010-September,6,E,2,1,18,5.556,11.112
2010,9,2010-September,6,S,2,1,18,5.556,5.556
2010,9,2010-September,7,NW,2,1,24,4.167,4.167
2010,9,2010-September,11,SE,1,2,24,8.333,8.333
2010,9,2010-September,17,W,3,2,24,8.333,20.833
2010,9,2010-September,18,W,1,1,23,4.348,4.348
2010,9,2010-September,19,W,2,3,18,16.667,16.667
2010,9,2010-September,25,SE,2,2,24,8.333,12.5
2010,9,2010-September,29,N,2,2,24,8.333,12.5
2010,10,2010-October,3,E,2,1,24,4.167,25.0
2010,10,2010-October,11,NE,1,2,21,9.524,9.524
2010,10,2010-October,13,W,1,1,23,4.348,4.348
2010,10,2010-October,21,SE,1,1,22,4.545,4.545
2010,11,2010-November,3,SW,2,2,20,10.0,15.0
2010,11,2010-November,6,W,2,1,24,4.167,8.334
2010,11,2010-November,15,E,2,1,24,4.167,16.667
2010,11,2010-November,16,W,1,2,24,8.333,8.333
2010,11,2010-November,18,E,2,2,23,8.696,17.392
2010,11,2010-November,19,SW,2,1,22,4.545,4.545
2010,11,2010-November,21,NE,1,5,24,20.833,20.833
2010,11,2010-November,22,S,1,1,21,4.762,4.762
2010,11,2010-November,23,S,3,1,14,7.143,14.286
2010,11,2010-November,30,NE,3,3,24,12.5,29.167
2010,12,2010-December,8,W,2,1,24,4.167,12.5
2010,12,2010-December,10,E,2,1,24,4.167,12.5
2010,12,2010-December,10,SE,1,1,24,4.167,4.167
2010,12,2010-December,11,S,2,1,24,4.167,8.334
2010,12,2010-December,15,NE,2,3,23,13.043,17.391
2010,12,2010-December,15,SW,2,1,23,4.348,21.739
2010,12,2010-December,26,NW,1,3,24,12.5,12.5
2010,12,2010-December,28,NE,1,4,23,17.391,17.391
2010,1,2010-January,20,W,1,1,24,4.167,4.167
2010,3,2010-March,30,NE,2,1,24,4.167,12.5
2010,4,2010-April,2,NE,1,3,24,12.5,12.5
2010,4,2010-April,9,NE,1,3,24,12.5,12.5
2010,4,2010-April,20,NE,1,3,24,12.5,12.5
2010,4,2010-April,20,SE,3,1,24,4.167,16.667
2010,4,2010-April,26,E,1,3,24,12.5,12.5
2010,4,2010-April,27,SW,1,4,24,16.667,16.667
2010,5,2010-May,2,SE,3,1,24,4.167,8.334
2010,5,2010-May,2,W,2,3,24,12.5,12.5
2010,5,2010-May,6,E,3,2,18,11.111,27.778
2010,5,2010-May,10,S,1,2,24,8.333,8.333
2010,5,2010-May,14,SE,3,1,24,4.167,25.001
2010,5,2010-May,17,E,2,3,24,12.5,16.667
2010,5,2010-May,24,E,1,3,24,12.5,12.5
2010,6,2010-June,8,SE,1,1,24,4.167,4.167
2010,6,2010-June,12,E,1,5,24,20.833,20.833
2010,6,2010-June,12,NE,3,1,24,4.167,12.5
2010,6,2010-June,20,S,2,1,24,4.167,4.167
2010,6,2010-June,20,W,1,4,24,16.667,16.667
2010,7,2010-July,1,E,1,3,24,12.5,12.5
2010,7,2010-July,4,SE,1,2,24,8.333,8.333
2010,7,2010-July,7,E,3,1,24,4.167,16.667
2010,7,2010-July,22,E,1,1,13,7.692,7.692
2010,7,2010-July,23,NW,2,1,18,5.556,11.112
2010,7,2010-July,23,W,4,1,18,5.556,27.779
2010,7,2010-July,27,E,2,1,23,4.348,13.044
2010,8,2010-August,9,SW,3,1,16,6.25,18.75
2010,8,2010-August,14,NE,2,1,17,5.882,11.764
2010,8,2010-August,18,E,2,5,24,20.833,25.0
2010,8,2010-August,20,NW,2,1,24,4.167,8.334
2010,8,2010-August,22,E,1,3,24,12.5,12.5
2010,8,2010-August,22,SW,2,4,24,16.667,16.667
